url,title,rating,location,price,description,guests,atributes,amenities_list,ratings,lat,lng
https://www.airbnb.com.br/rooms/28402863?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,Studio acolhedor na Lagoa da Conceição,"4,95 ·","Lagoa da Conceição, Santa Catarina, Brasil", R$5.480,"Nosso studio com design rústico é perfeito para quem ama a natureza pois está ao lado de uma pequena floresta da Lagoa da Conceição. Mas estamos a apenas 10 min a pé do centrinho do bairro, onde voce pode encontrar de bares, restaurantes, cafes, padaria, mercadinhos, supermercados, farmácia, peixaria, lojas etc. Estamos aproximadamente 10km das praias da Joaquina e Mole e 2km da lagoa e dunas da Conceição.


Nosso Studio é pequeno, mas funcional. Temos uma pequena cozinha integrada com uma sala e quarto. Também tem uma varanda e banheiro com chuveiro exclusivo para os hóspedes.

O Studio é mobilhado e equipado com: 
-Cama de casal e ar-condicionado.
- Forno (micro-ondas e elétrico), fogão, geladeira, cafeteira elétrica, conjunto de panelas, conjunto de pratos, talheres, copos e outros utensílios domésticos;
- Lavanderia: lavadora, tanque, ferro elétrico, varal e materiais de limpeza;
- Sala de estar: TV 16 polegadas, internet wi-fi, ar-condicionado, sofa, office
- 1 banheiro completo
- Nós fornecemos roupa de cama e banho, toalha de praia, sabonete e xampu",2 hóspedes,"['2 hóspedes', ' · 1 quarto', ' · 1 cama', ' · 1 banheiro', 'Membro desde setembro de 2015']","['Vista para o jardim', 'Secador de cabelo', 'Produtos de limpeza', 'Condicionador', 'Chuveiro externo', 'Água quente', 'Máquina de lavar na acomodação por Gratuito', 'Básico', 'Cabides', 'Roupa de cama', 'Cobertores e travesseiros extras', 'Blackout nas cortinas', 'Ferro de passar', 'Varal para secar roupas', 'Local para guardar as roupas: guarda-roupa', 'HDTV de 37"" com Netflix, TV a cabo', 'Livros e material de leitura', 'Ar-condicionado split', 'Aquecimento Central', 'Detector de fumaça', 'Kit de primeiros socorros', 'Wi-Fi rápido (58 Mbps)', 'Espaço de trabalho exclusivo', 'Cozinha', 'Refrigerador', 'Microondas', 'Itens básicos de cozinha', 'Louças e talheres', 'Fogão', 'Forno', 'Chaleira de água quente', 'Cafeteira', 'Taças de vinho', 'Torradeira', 'Liquidificador', 'Utensílios para churrasco', 'Café', 'Mesa de jantar', 'Entrada privada', 'Lavanderia nas proximidades', 'Pátio ou varanda (Compartilhada)', 'Quintal privado — totalmente cercado', 'Móveis externos', 'Rede', 'Churrasqueira', 'Garagem residencial gratuita na propriedade: 1 vaga', 'Estacionamento gratuito na rua', 'Estacionamento pago fora da propriedade', 'Casa térrea', 'É permitido deixar as malas', 'Estadias de longa duração são permitidas', 'Self check-in', 'Funcionários do edifício', 'Câmeras de segurança na propriedade', 'Alarme de monóxido de carbono', 'Xampu']","['4,9', '5,0', '5,0', '4,9', '5,0', '4,9']",-27.60651,-48.4732
https://www.airbnb.com.br/rooms/47933102?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,Apt completo com ótima localização em Floripa!,"5,0 ·","Trindade, Santa Catarina, Brasil", R$5.201,"Hospede-se em Floripa em uma acomodação completa, centralizada e de fácil acesso às principais praias da região. Local próximo à farmácias, supermercado, ponto de ônibus, shopping e Universidade (UFSC). 
Infraestrutura completa p/ até 4 pessoas. Quarto possui cama queen size e AC split. Cozinha bem equipada c/ microondas, cafeteira, sanduicheira e demais utensílios. Sala com sacada, TV com netflix e wifi 120GB. Apartamento fica no 2° andar, mas há apenas um lance de escada. Possui garagem.


Você estará num espaço bem equipado e confortável. O prédio possui área comum de lazer, com quadra esportiva, parquinho, quiosques com churrasqueiras e lindas árvores para uma boa caminhada ao ar livre ou para quem gosta de sossego para um bom livro!",4 hóspedes,"['4 hóspedes', ' · 1 quarto', ' · 1 cama', ' · 1 banheiro', 'Membro desde abril de 2017']","['Secador de cabelo', 'Máquina de Lavar', 'Básico', 'Cabides', 'Ferro de passar', 'TV', 'Ar-condicionado', 'Wi-Fi', 'Cozinha', 'Refrigerador', 'Louças e talheres', 'Cafeteira', 'Pátio ou varanda', 'Estacionamento incluído', 'Estadias de longa duração são permitidas', 'Câmeras de segurança na propriedade', 'Detector de fumaça', 'Alarme de monóxido de carbono', 'Xampu', 'Entrada privada', 'Aquecimento Central']","['5,0', '5,0', '5,0', '5,0', '4,9', '4,9']",-27.5867,-48.52479
https://www.airbnb.com.br/rooms/37463536?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,"Linda Kit em frente UFSC, entre praias norte e sul","5,0 ·","Trindade, Santa Catarina, Brasil", R$5.200,"Apartamento em bairro super bem localizado, com fácil acesso às praias do sul e do norte. Próximo ao shopping, supermercados, farmácias, bares, ponto de ônibus, restaurantes, posto de gasolina e em frente à universidade Federal. Tem ar condicionado , todos os utensílios de cozinha,  TV, entre outros. O apartamento tem uma cama queen e um sofá casal. Possui garagem coberta privativa dentro do condomínio.
O espaço possui aquecedor de ar retrô para dar mais aconchego para os dias frios.


O estacionamento pode ser utilizado em frente ao prédio e ao mercado. Mas o apto possui garagem privativa coberta dentro do condomínio.
O prédio não possui elevador com três lances de escada para subir.",4 hóspedes,"['4 hóspedes', ' · 1 quarto', ' · 2 camas', ' · 1 banheiro', 'Membro desde agosto de 2019']","['Vista para o parque', 'Produtos de limpeza', 'Água quente', 'Máquina de lavar na acomodação por Gratuito', 'Básico', 'Cabides', 'Roupa de cama', 'Cobertores e travesseiros extras', 'Blackout nas cortinas', 'Ferro de passar', 'Varal para secar roupas', 'Local para guardar as roupas: cômoda', 'HDTV de 32""', 'Ar-condicionado split', 'Wi-Fi', 'Espaço de trabalho exclusivo', 'Cozinha', 'Refrigerador', 'Microondas', 'Itens básicos de cozinha', 'Louças e talheres', 'Fogão', 'Cafeteira: cafeteira elétrica', 'Café', 'Lavanderia nas proximidades', 'Garagem residencial gratuita na propriedade: 1 vaga', 'Estacionamento gratuito na rua', 'Estadias de longa duração são permitidas', 'Câmeras de segurança na propriedade', 'Secador de cabelo', 'Detector de fumaça', 'Alarme de monóxido de carbono', 'Xampu', 'Entrada privada', 'Aquecimento Central']","['5,0', '4,9', '5,0', '5,0', '5,0', '5,0']",-27.5971,-48.524
https://www.airbnb.com.br/rooms/31143465?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,Linda casa confortável em Florianópolis,"4,83 ·","Ponta das Canas, Santa Catarina, Brasil", R$10.430,"Casa com 3 dormitórios, sala de estar,sala de jantar, cozinha equipada, total de 2 Banheiros, Garagem, Estacionamento, Área de Serviço, 3 Camas de Casal + 01 colchão extra, Ar Condicionado (02), Ventiladores de teto, área Churrasqueira e Espetos p/ churrasco, Tv á cores, utensílios de cozinha, Fogão, Microondas, geladeira duplex, Liquidificador,Lava Roupas,Ferro de Passar, roupas de c/m/b.


OBS: òtima casa, super confortável.


Casa com 3 dormitórios, sala de estar,sala de jantar, cozinha equipada, total de 2 Banheiros, Garagem, Estacionamento, Área de Serviço, 3 Camas de Casal + 01 colchão extra, Ar Condicionado (02), Ventiladores de teto, área Churrasqueira e Espetos p/ churrasco, Tv á cores, utensílios de cozinha, Fogão, Microondas, geladeira duplex, Liquidificador,Lava Roupas,Ferro de Passar, roupas de c/m/b.


OBS: òtima casa, super confortável.",8 hóspedes,"['8 hóspedes', ' · 3 quartos', ' · 3 camas', ' · 2 banheiros', 'Membro desde setembro de 2017']","['Água quente', 'Máquina de Lavar', 'Básico', 'Cabides', 'Roupa de cama', 'Cobertores e travesseiros extras', 'Ferro de passar', 'Conexão à Ethernet', 'TV com TV a cabo', 'Ar-condicionado', 'Wi-Fi', 'Cozinha', 'Refrigerador', 'Microondas', 'Itens básicos de cozinha', 'Louças e talheres', 'Fogão', 'Forno', 'Cafeteira', 'Utensílios para churrasco', 'Pátio ou varanda', 'Quintal', 'Churrasqueira', 'Estacionamento incluído', 'Casa térrea', 'Permitido animais', 'É permitido deixar as malas', 'Permitido fumar', 'Estadias de longa duração são permitidas', 'Secador de cabelo', 'Detector de fumaça', 'Alarme de monóxido de carbono', 'Xampu', 'Entrada privada', 'Aquecimento Central']","['4,5', '4,8', '5,0', '4,8', '5,0', '4,9']",-27.39643,-48.42749
https://www.airbnb.com.br/rooms/27789679?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,Apto no Centro ideal para lazer ou trabalho,"4,88 ·","Centro, Santa Catarina, Brasil", R$1.980,"Apartamento de um quarto com sala de estar/jantar, cozinha e área de serviço para acomodar ate duas pessoas. Mobiliado com o necessário para preparar refeições rápidas ou mais elaboradas.

O espaço
Com vista ampla para as pontes, o mar da baia sul e o Morro do Cambirela no centro de Florianópolis em edifício residencial seguro com com porteiro 24 horas e circuito interno de monitoramento.",2 hóspedes,"['2 hóspedes', ' · 1 quarto', ' · 1 cama', ' · 1 banheiro', 'Membro desde agosto de 2018']","['Secador de cabelo', 'Produtos de limpeza', 'Água quente', 'Básico', 'Roupa de cama', 'Blackout nas cortinas', 'Ferro de passar', 'Varal para secar roupas', 'HDTV com TV a cabo', 'Sistema de som', 'Livros e material de leitura', 'Lareira interna', 'Ventiladores portáteis', 'Câmeras de segurança na propriedade', 'Wi-Fi', 'Espaço de trabalho exclusivo', 'Wifi portátil', 'Cozinha', 'Refrigerador', 'Itens básicos de cozinha', 'Louças e talheres', 'Fogão', 'Forno', 'Cafeteira', 'Torradeira', 'Mesa de jantar', 'Vista para as águas', 'Acesso à praia', 'Lavanderia nas proximidades', 'Elevador', 'Estacionamento pago fora da propriedade', 'Permitido animais', 'Estadias de longa duração são permitidas', 'O anfitrião recebe você', 'Máquina de Lavar', 'Ar-condicionado', 'Detector de fumaça', 'Alarme de monóxido de carbono', 'Xampu', 'Entrada privada', 'Aquecimento Central']","['4,8', '4,9', '5,0', '4,9', '5,0', '4,8']",-27.59888,-48.54935
https://www.airbnb.com.br/rooms/52364562?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,Apartamento confortável no centro,"4,47 ·","Centro, Santa Catarina, Brasil", R$1.984,"Apartamento de um quarto em localização privilegiada no centro de Florianópolis. Próximo a supermercado, restaurantes, bares, pontos turísticos, transporte público e de acesso fácil a qualquer parte da ilha. 
O edifício tem elevador e portaria 24 horas e o apartamento está equipado para garantir uma estadia confortável e tranquila para aproveitar todas as maravilhas que a cidade tem a oferecer.


Você terá o apartamento todo disponível, em local seguro e de fácil acesso a supermercados, lojas, bares, restaurantes, pontos turísticos e transporte público.",4 hóspedes,"['4 hóspedes', ' · 1 quarto', ' · 2 camas', ' · 1 banheiro', 'Membro desde janeiro de 2019']","['Vista para a baía', 'Produtos de limpeza', 'Xampu', 'Condicionador', 'Sabonete para o corpo', 'Água quente', 'Básico', 'Cabides', 'Roupa de cama', 'Cobertores e travesseiros extras', 'Blackout nas cortinas', 'Ferro de passar', 'Varal para secar roupas', 'Local para guardar as roupas: guarda-roupa', 'TV com Netflix', 'Livros e material de leitura', 'Jogos de tabuleiro', 'Ar-condicionado split', 'Ventiladores portáteis', 'Wi-Fi', 'Cozinha', 'Refrigerador', 'Microondas', 'Itens básicos de cozinha', 'Louças e talheres', 'Fogão elétrico', 'Chaleira de água quente', 'Cafeteira: cafeteira elétrica', 'Taças de vinho', 'Liquidificador', 'Café', 'Mesa de jantar', 'Lavanderia nas proximidades', 'Estacionamento gratuito na rua', 'Elevador', 'Estacionamento pago fora da propriedade', 'Estadias de longa duração são permitidas', 'O anfitrião recebe você', 'Câmeras de segurança na propriedade', 'Máquina de Lavar', 'Secador de cabelo', 'Detector de fumaça', 'Alarme de monóxido de carbono', 'Entrada privada', 'Aquecimento Central']","['4,6', '4,7', '4,5', '5,0', '4,6', '4,5']",-27.59461,-48.54946
https://www.airbnb.com.br/rooms/17963094?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,Floripa Top,"4,79 ·","Florianópolis, Santa Catarina, Brasil", R$6.736,,3 hóspedes,"['3 hóspedes', ' · 1 quarto', ' · 2 camas', ' · 1 banheiro', '']","['Secador de cabelo', 'Xampu', 'Água quente', 'Máquina de Lavar', 'Secadora', 'Básico', 'Cabides', 'Roupa de cama', 'Cobertores e travesseiros extras', 'Ferro de passar', 'HDTV com TV a cabo', 'Berço', 'Cercadinho/berço portátil', 'Cadeira alta', 'Ar-condicionado split', 'Aquecimento Central', 'Extintor de incêndio', 'Wi-Fi', 'Wifi portátil', 'Cozinha', 'Refrigerador', 'Microondas', 'Itens básicos de cozinha', 'Louças e talheres', 'Fogão', 'Forno', 'Cafeteira', 'Elevador', 'Estacionamento pago no local', 'Permitido animais', 'Estadias de longa duração são permitidas', 'Self check-in', 'Funcionários do edifício', 'Detector de fumaça', 'Alarme de monóxido de carbono', 'Entrada privada']","['', '', '', '', '', '']",-27.59731,-48.54803
https://www.airbnb.com.br/rooms/34643056?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,Studio na Trindade próximo da UFSC,"4,78 ·","Trindade, Santa Catarina, Brasil", R$2.318,"Studio aconchegante, novo e funcional, ideal para 01 ou 02 pessoas. Localizado na Trindade, próximo à UFSC (10 minutos a pé), ao Shopping Villa Romana (10 min a pé), ao parque horto-florestal, a supermercados e outras funcionalidades.  Fácil acesso aos ônibus que vão para o Centro e para as praias.  Conta com 1 vaga em garagem e elevador.

O espaço
Conte com privacidade e facilidade de acesso, pois o prédio está na principal avenida do Bairro.",2 hóspedes,"['2 hóspedes', ' · Estúdio', ' · 1 cama', ' · 1 banheiro', 'Membro desde outubro de 2017']","['Vista para o horizonte da cidade', 'Água quente', 'Básico', 'Cabides', 'Blackout nas cortinas', 'Ferro de passar', 'Local para guardar as roupas: guarda-roupa', 'TV', 'Ventiladores portáteis', 'Extintor de incêndio', 'Wi-Fi', 'Cozinha', 'Refrigerador', 'Microondas', 'Itens básicos de cozinha', 'Louças e talheres', 'Fogão', 'Forno', 'Cafeteira', 'Mesa de jantar', 'Entrada privada', 'Lavanderia nas proximidades', 'Estacionamento incluído', 'Elevador', 'Estadias de longa duração são permitidas', 'Máquina de Lavar', 'Ar-condicionado', 'Secador de cabelo', 'Detector de fumaça', 'Alarme de monóxido de carbono', 'Xampu', 'Aquecimento Central']","['4,8', '4,8', '4,8', '4,9', '4,7', '4,6']",-27.59169,-48.52093
https://www.airbnb.com.br/rooms/45950262?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,Apartamento à 150 metros da praia de Canasvieiras,"4,92 ·","Canasvieiras, Santa Catarina, Brasil", R$5.018,"Lugar tranquilo e arejado à uma quadra de distância da praia, localizado na avenida principal de Canasvieiras, perto de bares e restaurantes do local. Cadeiras de praia e guarda-sol estarão à disposição dos hóspedes para aproveitarem a praia sem preocupações. O apartamento possui churrasqueira na sacada. Além disso, o condomínio ainda possui elevador, churrasqueira compartilhada e piscina recém reformada.",4 hóspedes,"['4 hóspedes', ' · 1 quarto', ' · 2 camas', ' · 1 banheiro', 'Membro desde outubro de 2020']","['Máquina de Lavar', 'Básico', 'Cabides', 'Blackout nas cortinas', 'Ferro de passar', 'Varal para secar roupas', 'Local para guardar as roupas: guarda-roupa', 'TV', 'Ar-condicionado', 'Ventiladores portáteis', 'Câmeras de segurança na propriedade', 'Wi-Fi', 'Cozinha', 'Refrigerador', 'Microondas', 'Itens básicos de cozinha', 'Louças e talheres', 'Fogão a gás', 'Cafeteira: cafeteira elétrica', 'Liquidificador', 'Acesso à praia', 'Entrada privada', 'Churrasqueira: a carvão', 'Estacionamento incluído', 'Piscina compartilhada', 'Elevador', 'Permitido animais', 'Permitido fumar', 'Estadias de longa duração são permitidas', 'Secador de cabelo', 'Detector de fumaça', 'Alarme de monóxido de carbono', 'Xampu', 'Aquecimento Central']","['5,0', '4,8', '4,8', '5,0', '5,0', '4,8']",-27.42778,-48.46318
https://www.airbnb.com.br/rooms/53107116?check_in=2023-01-01&check_out=2023-02-01&previous_page_section_name=1000&display_extensions%5B0%5D=MONTHLY_STAYS,Apto região central/UDESC- Praias,"5,0 ·","Itacorubi, Santa Catarina, Brasil", R$3.430,"Apartamento Inteiro, com dois quartos sendo um suíte com ar condicionado , cozinha completa, sacadas, internet com 300 megas, situado no bairro Itacorubi, com garagem coberta  dentro do edifício. 
O bairro  Itacorubi localiza-se na região central de Florianópolis, ao longo do caminho que vai para a Lagoa da Conceição e as praias do leste. Possui boa infraestrutura, uma vez que vários órgãos do poder público do Estado, estão lá. Muito próximo à UDESC, CELESC , Epagri e UFSC.


Apartamento inteiro com dois quartos. Uma suíte com cama de casal, com ar condicionado. O segundo quarto com duas camas de solteiro box, que podem ser unidas como cama de casal. Com ampla sala de estar e jantar com sacada, cozinha completa com eletrodomésticos e utensílios. Dois banheiro com box e chuveiro.
Sala, cozinha e área de serviço.
Todo equipado, com internet e wi-fi e  com garagem.",4 hóspedes,"['4 hóspedes', ' · 2 quartos', ' · 3 camas', ' · 2 banheiros', 'Membro desde outubro de 2013']","['Vista para o horizonte da cidade', 'Água quente', 'Máquina de lavar na acomodação por Gratuito', 'Secadora Gratuito', 'Básico', 'Cabides', 'Roupa de cama', 'Blackout nas cortinas', 'Ferro de passar', 'Local para guardar as roupas: guarda-roupa', 'HDTV com TV a cabo, Netflix, Roku', 'Livros e material de leitura', 'Ar-condicionado split', 'Aquecedor split', 'Wi-Fi', 'Espaço de trabalho exclusivo', 'Cozinha', 'Refrigerador', 'Microondas', 'Itens básicos de cozinha', 'Louças e talheres', 'Fogão de aço inoxidável', 'Forno de aço inoxidável', 'Chaleira de água quente', 'Cafeteira', 'Taças de vinho', 'Liquidificador', 'Quintal', 'Estacionamento incluído', 'Elevador', 'É permitido deixar as malas', 'Permitido fumar', 'Estadias de longa duração são permitidas', 'O anfitrião recebe você', 'Secador de cabelo', 'Detector de fumaça', 'Alarme de monóxido de carbono', 'Xampu', 'Entrada privada']","['5,0', '5,0', '5,0', '5,0', '5,0', '5,0']",-27.5852,-48.4968
